id_platillo,nombre_es,categoria,subcategoria,estado_tipico,region_tipica,descripcion_es,tipo_estructura,personalizable,nivel_picante_base,riesgo_digestivo_base,nota_cultural_es,recomendacion_turista_es,activo
PL017,flauta,antojito,flauta,Guanajuato,Bajío,"Tortilla enrollada y frita hasta quedar muy crujiente, cubierta con crema, lechuga, salsa y queso.",antojito_frito,true,medio,alto,"Comparte familia con tacos fritos y taquitos, pero suele distinguirse por su forma más alargada y delgada.","Conviene comerlo recién hecho para aprovechar textura y temperatura. Si no estás acostumbrado a comida pesada, empieza con una porción moderada o compártelo.",true
PL018,tlayuda,antojito,antojito_oaxaqueño,Oaxaca,Sur,"Tortilla grande y semiseca con asiento, frijol, quesillo, vegetales y carne al gusto.",abierto_con_toppings,false,medio,medio,Es una preparación muy reconocible de Oaxaca y ayuda a entender la cocina del sur.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL019,memela,antojito,antojito_oaxaqueño,Oaxaca,Sur,"Disco pequeño de masa untado con asiento, frijol o salsa y terminado con queso y carne opcional.",abierto_con_toppings,false,medio,medio,Es una preparación muy reconocible de Oaxaca y ayuda a entender la cocina del sur.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL020,tetela,antojito,antojito_poblano,Puebla,Centro,"Triángulo de masa relleno de frijol, haba o requesón que se cocina al comal y se acompaña con salsa.",cerrado_con_relleno,false,medio,medio,Es una preparación muy reconocible de Puebla y ayuda a entender la cocina del centro.,Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
PL021,chalupas poblanas,antojito,antojito_poblano,Puebla,Centro,"Tortillas pequeñas fritas en manteca, servidas con salsa verde o roja, cebolla y carne deshebrada.",abierto_con_toppings,false,medio,medio,Es una preparación muy reconocible de Puebla y ayuda a entender la cocina del centro.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL022,panucho,antojito,antojito_yucateco,Yucatán,Península de Yucatán,"Tortilla rellena de frijol, frita y cubierta con pavo o pollo, cebolla morada y aguacate.",abierto_con_toppings,false,medio,medio,Es una preparación muy reconocible de Yucatán y ayuda a entender la cocina del península de yucatán.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL023,salbute,antojito,antojito_yucateco,Yucatán,Península de Yucatán,"Masa frita y esponjada servida con pavo, lechuga, jitomate, aguacate y cebolla curtida.",abierto_con_toppings,false,medio,medio,Es una preparación muy reconocible de Yucatán y ayuda a entender la cocina del península de yucatán.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL024,empanada de cazón,antojito,empanada_costera,Campeche,Península de Yucatán,Empanada de maíz o trigo rellena de cazón guisado y salsa de jitomate.,cerrado_con_relleno,false,medio,medio,Es una preparación muy reconocible de Campeche y ayuda a entender la cocina del península de yucatán.,Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
PL025,picadas veracruzanas,antojito,antojito_veracruzano,Veracruz,Golfo,"Discos de masa pellizcados en la orilla, servidos con salsa, cebolla, queso o carne.",abierto_con_toppings,false,medio,medio,Es una preparación muy reconocible de Veracruz y ayuda a entender la cocina del golfo.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL026,dobladas oaxaqueñas,antojito,antojito_oaxaqueño,Oaxaca,Sur,Tortillas grandes dobladas sobre un relleno sencillo y calentadas al comal antes de bañarse con salsa.,tortilla_rellena,false,medio,medio,Es una preparación muy reconocible de Oaxaca y ayuda a entender la cocina del sur.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL027,molotes poblanos,antojito,antojito_poblano,Puebla,Centro,"Antojito frito de masa mezclada con papa, relleno y servido con crema, salsa y queso.",antojito_frito,false,medio,alto,Es una preparación muy reconocible de Puebla y ayuda a entender la cocina del centro.,"Conviene comerlo recién hecho para aprovechar textura y temperatura. Si no estás acostumbrado a comida pesada, empieza con una porción moderada o compártelo.",true
PL028,garnachas istmeñas,antojito,antojito_oaxaqueño,Oaxaca,Sur,"Tortillas pequeñas fritas con carne deshebrada, salsa y cebolla encurtida del Istmo.",abierto_con_toppings,false,medio,medio,Es una preparación muy reconocible de Oaxaca y ayuda a entender la cocina del sur.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL029,garnachas chiapanecas,antojito,antojito_chiapaneco,Chiapas,Sur,"Discos pequeños fritos que suelen servirse con carne molida, salsa y queso seco.",abierto_con_toppings,false,medio,medio,Es una preparación muy reconocible de Chiapas y ayuda a entender la cocina del sur.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL030,gringa,antojito,taco_de_harina,Nuevo León,Norte,"Tortilla de harina con queso fundido y carne al pastor o similar, doblada y servida bien caliente.",tortilla_rellena,false,medio,medio,Es una preparación muy reconocible de Nuevo León y ayuda a entender la cocina del norte.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL031,sincronizada,antojito,taco_de_harina,Sonora,Norte,"Dos tortillas de harina prensadas con jamón, queso y otros rellenos ligeros.",tortilla_rellena,false,bajo,medio,Es una preparación muy reconocible de Sonora y ayuda a entender la cocina del norte.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL032,mulita,antojito,antojito_baja,Baja California,Noroeste,"Par de tortillas crujientes con carne, queso y salsa, servidas como bocado contundente de taquería.",tortilla_rellena,false,medio,medio,Es una preparación muy reconocible de Baja California y ayuda a entender la cocina del noroeste.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL033,volcán,antojito,antojito_tostado,Jalisco,Occidente,"Tostada pequeña o tortilla dorada coronada con queso fundido, carne y salsa.",abierto_con_toppings,false,medio,medio,Es una preparación muy reconocible de Jalisco y ayuda a entender la cocina del occidente.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL034,cemita poblana,antojito,pan_relleno_mexicano,Puebla,Centro,"Pan de ajonjolí relleno con milanesa o carne, quesillo, pápalo, aguacate y chipotle.",pan_relleno,false,medio,medio,Es una preparación muy reconocible de Puebla y ayuda a entender la cocina del centro.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL035,torta ahogada,antojito,torta_regional,Jalisco,Occidente,Birote salado relleno de carnitas y sumergido en salsa de jitomate con chile.,pan_relleno,false,medio,alto,Es una preparación muy reconocible de Jalisco y ayuda a entender la cocina del occidente.,"Conviene comerlo recién hecho para aprovechar textura y temperatura. Si no estás acostumbrado a comida pesada, empieza con una porción moderada o compártelo.",true
PL036,guajolota,antojito,torta_regional,Ciudad de México,Centro,"Bolillo relleno con tamal, típico de desayunos callejeros y puestos madrugadores.",pan_relleno,false,bajo,alto,Es una preparación muy reconocible de Ciudad de México y ayuda a entender la cocina del centro.,"Conviene comerlo recién hecho para aprovechar textura y temperatura. Si no estás acostumbrado a comida pesada, empieza con una porción moderada o compártelo.",true
PL037,pelonas poblanas,antojito,pan_relleno_mexicano,Puebla,Centro,"Pan crujiente de antojería poblana relleno de carne deshebrada, frijol, crema, queso y lechuga.",pan_relleno,false,medio,medio,Es una preparación muy reconocible de Puebla y ayuda a entender la cocina del centro.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL038,bocol,antojito,antojito_huasteco,San Luis Potosí,Huasteca,"Gordita gruesa de maíz rellena o abierta, cocida en comal y servida con salsas o guisos.",cerrado_con_relleno,false,medio,medio,Es una preparación muy reconocible de San Luis Potosí y ayuda a entender la cocina del huasteca.,Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
PL039,empanada de jaiba,antojito,empanada_costera,Tamaulipas,Golfo,"Empanada rellena de jaiba sazonada con jitomate, cebolla y chile.",cerrado_con_relleno,false,medio,medio,Es una preparación muy reconocible de Tamaulipas y ayuda a entender la cocina del golfo.,Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
PL040,empanada de camarón,antojito,empanada_costera,Sinaloa,Noroeste,Empanada de maíz o harina rellena de camarón guisado y cocida hasta quedar dorada.,cerrado_con_relleno,false,medio,medio,Es una preparación muy reconocible de Sinaloa y refleja la lógica costera de la cocina del noroeste.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Mejor en un lugar con buena rotación y cadena de frío.,true
PL041,pescadillas,antojito,antojito_costero,Baja California,Noroeste,"Tacos o empanadas dobladas de pescado sazonado, fritos o dorados al comal.",antojito_frito,false,medio,medio,Es una preparación muy reconocible de Baja California y refleja la lógica costera de la cocina del noroeste.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Mejor en un lugar con buena rotación y cadena de frío.,true
PL042,enfrijoladas veracruzanas,desayuno,desayuno_tortilla,Veracruz,Golfo,"Tortillas bañadas en salsa de frijol y rellenas con queso, huevo o pollo.",tortilla_rellena,false,bajo,medio,Es una preparación muy reconocible de Veracruz y ayuda a entender la cocina del golfo.,"Vale la pena pedirlo temprano, cuando la textura y las guarniciones suelen estar en su mejor punto. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.",true
PL043,enmoladas,antojito,antojito_salsa,Oaxaca,Sur,"Tortillas rellenas o dobladas cubiertas con mole y rematadas con queso, crema o pollo.",tortilla_rellena,false,medio,medio,Es una preparación muy reconocible de Oaxaca y ayuda a entender la cocina del sur.,Conviene comerlo recién hecho para aprovechar textura y temperatura. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL044,entomatadas queretanas,desayuno,desayuno_tortilla,Querétaro,Bajío,"Tortillas bañadas en salsa de jitomate y servidas con queso, crema, cebolla o pollo.",tortilla_rellena,false,bajo,medio,Es una preparación muy reconocible de Querétaro y ayuda a entender la cocina del bajío.,"Vale la pena pedirlo temprano, cuando la textura y las guarniciones suelen estar en su mejor punto. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.",true
PL045,corundas,antojito,tamal_regional,Michoacán,Occidente,"Tamales triangulares de masa de maíz servidos con crema, salsa y queso o con guiso aparte.",cerrado_con_relleno,false,medio,medio,Es una preparación muy reconocible de Michoacán y ayuda a entender la cocina del occidente.,Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
PL046,uchepos,antojito,tamal_regional,Michoacán,Occidente,"Tamales tiernos de elote fresco, a veces servidos con crema, salsa y queso.",cerrado_con_relleno,false,bajo,medio,Es una preparación muy reconocible de Michoacán y ayuda a entender la cocina del occidente.,Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
PL047,zacahuil,antojito,tamal_regional,San Luis Potosí,Huasteca,"Tamal de gran tamaño preparado para fiestas y reuniones, cocido por horas en horno o fogón.",cerrado_con_relleno,false,medio,alto,Es una preparación muy reconocible de San Luis Potosí y ayuda a entender la cocina del huasteca.,"Conviene comerlo recién hecho para aprovechar textura y temperatura. Si no estás acostumbrado a comida pesada, empieza con una porción moderada o compártelo.",true
PL048,tamal canario,pan/antojito dulce,antojito_dulce_regional,Guerrero,Centro-Sur,"Tamal dulce y esponjoso hecho con harina, azúcar y notas de vainilla o pasas.",postre,false,bajo,bajo,"Es una pieza de pan o antojito dulce ligada a hornos, panaderías y celebraciones de Guerrero.","Lo mejor es buscarlo fresco, de panadería o mercado con buena rotación.",true
PL049,vaporcitos yucatecos,antojito,tamal_regional,Yucatán,Península de Yucatán,Tamales suaves cocidos al vapor y servidos con salsa de tomate y cebolla morada.,cerrado_con_relleno,false,medio,medio,Es una preparación muy reconocible de Yucatán y ayuda a entender la cocina del península de yucatán.,Conviene comerlo recién hecho para aprovechar textura y temperatura.,true
PL050,esquites,botana,maiz_callejero,Estado de México,Centro,"Granos de elote cocidos con epazote, mayonesa, queso, limón y chile al gusto.",abierto_con_toppings,false,medio,medio,Es una botana representativa de Estado de México y muestra cómo la calle y la reunión informal también definen la cocina del centro.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL051,elote preparado,botana,maiz_callejero,Ciudad de México,Centro,"Elote cocido servido con mayonesa, queso rallado, limón y chile en polvo.",abierto_con_toppings,false,medio,medio,Es una botana representativa de Ciudad de México y muestra cómo la calle y la reunión informal también definen la cocina del centro.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL052,marquesita,pan/antojito dulce,antojito_dulce_regional,Yucatán,Península de Yucatán,Barquillo crujiente enrollado y relleno con queso de bola y dulces o cremas.,postre,false,bajo,bajo,"Es una pieza de pan o antojito dulce ligada a hornos, panaderías y celebraciones de Yucatán.","Lo mejor es buscarlo fresco, de panadería o mercado con buena rotación.",true
PL053,queso fundido,botana,botana_lactea,Chihuahua,Norte,"Queso caliente y derretido servido con chorizo, rajas o champiñones y acompañado con tortillas.",abierto_con_toppings,false,bajo,medio,Es una botana representativa de Chihuahua y muestra cómo la calle y la reunión informal también definen la cocina del norte.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL054,frijoles puercos,botana,botana_norteña,Sinaloa,Noroeste,"Puré de frijol frito con chorizo, queso y chile, común en reuniones y parrilladas.",guiso,false,medio,alto,Es una botana representativa de Sinaloa y muestra cómo la calle y la reunión informal también definen la cocina del noroeste.,"Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Si no estás acostumbrado a comida pesada, empieza con una porción moderada o compártelo.",true
PL055,totopos con guacamole,botana,botana_maiz,Ciudad de México,Centro,"Totopos crujientes acompañados con guacamole fresco, salsa y limón.",abierto_con_toppings,false,bajo,medio,Es una botana representativa de Ciudad de México y muestra cómo la calle y la reunión informal también definen la cocina del centro.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL056,sikil pak,botana,botana_yucateca,Yucatán,Península de Yucatán,"Dip espeso de pepita molida, jitomate y cítricos servido con totopos o crudités.",abierto_con_toppings,false,bajo,medio,Es una botana representativa de Yucatán y muestra cómo la calle y la reunión informal también definen la cocina del península de yucatán.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL057,coctel de camarón,botana,botana_marisquera,Veracruz,Golfo,"Copa fría con camarón cocido, jitomate, cebolla, cilantro, aguacate y salsa coctelera.",abierto_con_toppings,false,medio,medio,Es una botana representativa de Veracruz y muestra cómo la calle y la reunión informal también definen la cocina del golfo.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Mejor en un lugar con buena rotación y cadena de frío. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL058,coctel campechano,botana,botana_marisquera,Veracruz,Golfo,"Coctel de mariscos mixtos servido frío con salsa de jitomate, limón y aguacate.",abierto_con_toppings,false,medio,medio,Es una botana representativa de Veracruz y muestra cómo la calle y la reunión informal también definen la cocina del golfo.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Mejor en un lugar con buena rotación y cadena de frío. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL059,escamoles,botana,botana_de_temporada,Hidalgo,Centro,"Larvas de hormiga cocinadas con mantequilla o epazote, servidas como bocado estacional de alto valor culinario.",guiso,false,bajo,medio,Es una preparación muy ligada al calendario festivo de Hidalgo y ayuda a entender la cocina ceremonial del centro.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas.,true
PL060,gusanos de maguey,botana,botana_de_temporada,Hidalgo,Centro,"Insectos del maguey asados o fritos, servidos con tortillas y salsas como botana regional.",guiso,false,alto,medio,Es una preparación muy ligada al calendario festivo de Hidalgo y ayuda a entender la cocina ceremonial del centro.,"Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Si quieres medir el picante, pide chile o salsa por separado antes de cargarlo completo.",true
PL061,charales fritos,botana,botana_lacustre,Michoacán,Occidente,"Pequeños peces fritos y sazonados, comunes como botana alrededor de lagos del occidente.",antojito_frito,false,medio,medio,Es una botana representativa de Michoacán y muestra cómo la calle y la reunión informal también definen la cocina del occidente.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas.,true
PL062,cueritos en vinagre,botana,botana_encurtida,Jalisco,Occidente,"Tiras de piel de cerdo curtidas en vinagre y servidas con chile, verduras y limón.",abierto_con_toppings,false,medio,medio,Es una botana representativa de Jalisco y muestra cómo la calle y la reunión informal también definen la cocina del occidente.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL063,caldo de oso,botana,botana_nayarita,Nayarit,Pacífico,"Preparación fresca de pescado marinado con jitomate, cebolla, chile y limón a medio camino entre ceviche y botana.",abierto_con_toppings,false,medio,medio,Es una botana representativa de Nayarit y muestra cómo la calle y la reunión informal también definen la cocina del pacífico.,Rinde mejor si se pide recién armado y se comparte mientras pruebas otras cosas. Mejor en un lugar con buena rotación y cadena de frío. Vale la pena confirmar toppings y salsas para ajustarlo a tu apetito y tolerancia al picante.,true
PL064,mole poblano,platillo fuerte,mole,Puebla,Centro,"Salsa espesa de chiles, semillas, especias y cacao que suele servirse con pollo o guajolote.",guiso,false,medio,medio,Es una preparación muy reconocible de Puebla y ayuda a entender la cocina del centro.,Conviene pedirlo como plato principal y revisar qué guarnición local ofrece la cocina.,true
PL065,mole negro,platillo fuerte,mole,Oaxaca,Sur,"Mole oscuro y profundo elaborado con chiles tostados, especias, semillas y cacao.",guiso,false,medio,medio,Es una preparación muy reconocible de Oaxaca y ayuda a entender la cocina del sur.,Conviene pedirlo como plato principal y revisar qué guarnición local ofrece la cocina.,true
PL066,mole coloradito,platillo fuerte,mole,Oaxaca,Sur,"Mole rojo oaxaqueño de sabor redondo y ligeramente dulce, normalmente servido con pollo.",guiso,false,medio,medio,Es una preparación muy reconocible de Oaxaca y ayuda a entender la cocina del sur.,Conviene pedirlo como plato principal y revisar qué guarnición local ofrece la cocina.,true
PL067,mole amarillo,platillo fuerte,mole,Oaxaca,Sur,"Guiso espesado con masa y chiles amarillos o chilhuacles, muy ligado a las cocinas de fiesta oaxaqueñas.",guiso,false,medio,medio,Es una preparación muy reconocible de Oaxaca y ayuda a entender la cocina del sur.,Conviene pedirlo como plato principal y revisar qué guarnición local ofrece la cocina.,true
PL068,manchamanteles,platillo fuerte,mole,Puebla,Centro,Mole afrutado con carne y frutas que deja color intenso y un perfil entre dulce y picante.,guiso,false,medio,medio,Es una preparación muy reconocible de Puebla y ayuda a entender la cocina del centro.,Conviene pedirlo como plato principal y revisar qué guarnición local ofrece la cocina.,true
PL069,pipián verde,platillo fuerte,mole,Puebla,Centro,"Salsa de pepita molida, chile y hierbas verdes que acompaña aves, cerdo o vegetales.",guiso,false,medio,medio,Es una preparación muy reconocible de Puebla y ayuda a entender la cocina del centro.,Conviene pedirlo como plato principal y revisar qué guarnición local ofrece la cocina.,true
PL070,pipián rojo,platillo fuerte,mole,Oaxaca,Sur,Pipián de semillas y chile seco que suele servirse con pollo o cerdo.,guiso,false,medio,medio,Es una preparación muy reconocible de Oaxaca y ayuda a entender la cocina del sur.,Conviene pedirlo como plato principal y revisar qué guarnición local ofrece la cocina.,true
PL071,chiles en nogada,platillo fuerte,chile_relleno,Puebla,Centro,Chile poblano relleno de picadillo frutal cubierto con nogada y granada.,cerrado_con_relleno,false,bajo,medio,Es una preparación muy reconocible de Puebla y ayuda a entender la cocina del centro.,Conviene pedirlo como plato principal y revisar qué guarnición local ofrece la cocina.,true
PL072,chile relleno,platillo fuerte,chile_relleno,Puebla,Centro,"Chile poblano relleno y capeado, servido con caldillo de jitomate.",cerrado_con_relleno,false,bajo,medio,Es una preparación muy reconocible de Puebla y ayuda a entender la cocina del centro.,Conviene pedirlo como plato principal y revisar qué guarnición local ofrece la cocina.,true
PL073,cochinita pibil,platillo fuerte,guiso_yucateco,Yucatán,Península de Yucatán,"Cerdo marinado con achiote y cítricos, cocido lentamente hasta quedar suave y deshebrable.",guiso,false,medio,medio,Es una preparación muy reconocible de Yucatán y ayuda a entender la cocina del península de yucatán.,Conviene pedirlo como plato principal y revisar qué guarnición local ofrece la cocina.,true
